Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2021/01/01,00:00,0.873,-,0.832
2021/01/01,01:00,0.985,-,0.963
2021/01/01,02:00,0.972,-,0.992
2021/01/01,03:00,0.825,-,0.918
2021/01/01,04:00,0.571,-,0.628
2021/01/01,05:00,0.287,-,0.342
2021/01/01,06:00,0.063,-,0.076
2021/01/01,07:00,-0.037,-,-0.041
2021/01/01,08:00,0.02,-,0.054
2021/01/01,09:00,0.238,-,0.329
2021/01/01,10:00,0.575,-,0.64
2021/01/01,11:00,0.94,-,1.062
2021/01/01,12:00,1.233,-,1.363
2021/01/01,13:00,1.396,-,1.522
2021/01/01,14:00,1.409,-,1.587
2021/01/01,15:00,1.268,-,1.392
2021/01/01,16:00,0.989,-,1.152
2021/01/01,17:00,0.635,-,0.825
2021/01/01,18:00,0.297,-,0.484
2021/01/01,19:00,0.051,-,0.292
2021/01/01,20:00,-0.058,-,0.067
2021/01/01,21:00,-0.009,-,0.216
2021/01/01,22:00,0.187,-,0.38
2021/01/01,23:00,0.467,-,0.727
2021/01/02,00:00,0.737,-,0.995
2021/01/02,01:00,0.926,-,1.206
2021/01/02,02:00,1,-,1.302
2021/01/02,03:00,0.949,-,1.292
2021/01/02,04:00,0.77,-,1.119
2021/01/02,05:00,0.503,-,0.855
2021/01/02,06:00,0.229,-,0.604
2021/01/02,07:00,0.034,-,0.337
2021/01/02,08:00,-0.027,-,0.308
2021/01/02,09:00,0.071,-,0.326
2021/01/02,10:00,0.323,-,0.561
2021/01/02,11:00,0.673,-,0.854
2021/01/02,12:00,1.023,-,1.248
2021/01/02,13:00,1.279,-,1.459
2021/01/02,14:00,1.394,-,1.536
2021/01/02,15:00,1.359,-,1.505
2021/01/02,16:00,1.177,-,1.354
2021/01/02,17:00,0.875,-,1.115
2021/01/02,18:00,0.522,-,0.607
2021/01/02,19:00,0.207,-,0.369
2021/01/02,20:00,0.001,-,0.043
2021/01/02,21:00,-0.062,-,0.034
2021/01/02,22:00,0.032,-,0.111
2021/01/02,23:00,0.261,-,0.279
2021/01/03,00:00,0.551,-,0.534
2021/01/03,01:00,0.808,-,0.787
2021/01/03,02:00,0.969,-,0.942
2021/01/03,03:00,1.012,-,1.041
2021/01/03,04:00,0.93,-,0.979
2021/01/03,05:00,0.731,-,0.825
2021/01/03,06:00,0.46,-,0.558
2021/01/03,07:00,0.201,-,0.356
2021/01/03,08:00,0.032,-,0.204
2021/01/03,09:00,0.001,-,0.181
2021/01/03,10:00,0.127,-,0.307
2021/01/03,11:00,0.395,-,0.74
2021/01/03,12:00,0.743,-,1.103
2021/01/03,13:00,1.068,-,1.434
2021/01/03,14:00,1.284,-,1.659
2021/01/03,15:00,1.358,-,1.541
2021/01/03,16:00,1.286,-,1.654
2021/01/03,17:00,1.078,-,1.441
2021/01/03,18:00,0.767,-,1.251
2021/01/03,19:00,0.425,-,1.004
2021/01/03,20:00,0.14,-,0.768
2021/01/03,21:00,-0.03,-,0.564
2021/01/03,22:00,-0.053,-,0.508
2021/01/03,23:00,0.078,-,0.625
2021/01/04,00:00,0.33,-,0.822
2021/01/04,01:00,0.624,-,1.155
2021/01/04,02:00,0.867,-,1.393
2021/01/04,03:00,1.007,-,1.595
2021/01/04,04:00,1.029,-,1.666
2021/01/04,05:00,0.929,-,1.549
2021/01/04,06:00,0.719,-,1.379
2021/01/04,07:00,0.449,-,1.01
