Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2021/01/01,00:00,0.873,-,0.832
2021/01/01,00:06,0.889,-,0.834
2021/01/01,00:12,0.904,-,0.864
2021/01/01,00:18,0.918,-,0.853
2021/01/01,00:24,0.931,-,0.85
2021/01/01,00:30,0.943,-,0.874
2021/01/01,00:36,0.954,-,0.884
2021/01/01,00:42,0.963,-,0.901
2021/01/01,00:48,0.972,-,0.959
2021/01/01,00:54,0.979,-,0.964
2021/01/01,01:00,0.985,-,0.963
2021/01/01,01:06,0.989,-,0.992
2021/01/01,01:12,0.993,-,0.974
2021/01/01,01:18,0.995,-,0.967
2021/01/01,01:24,0.995,-,0.944
2021/01/01,01:30,0.995,-,0.999
2021/01/01,01:36,0.993,-,1.003
2021/01/01,01:42,0.99,-,1.031
2021/01/01,01:48,0.985,-,1.024
2021/01/01,01:54,0.979,-,1.008
2021/01/01,02:00,0.972,-,0.992
2021/01/01,02:06,0.963,-,0.969
2021/01/01,02:12,0.953,-,0.968
2021/01/01,02:18,0.942,-,0.952
2021/01/01,02:24,0.929,-,0.91
2021/01/01,02:30,0.915,-,0.945
2021/01/01,02:36,0.899,-,0.952
2021/01/01,02:42,0.882,-,0.94
2021/01/01,02:48,0.864,-,0.946
2021/01/01,02:54,0.845,-,0.898
2021/01/01,03:00,0.825,-,0.918
2021/01/01,03:06,0.803,-,0.859
2021/01/01,03:12,0.781,-,0.846
2021/01/01,03:18,0.757,-,0.841
2021/01/01,03:24,0.733,-,0.804
2021/01/01,03:30,0.707,-,0.785
2021/01/01,03:36,0.681,-,0.733
2021/01/01,03:42,0.655,-,0.711
2021/01/01,03:48,0.627,-,0.666
2021/01/01,03:54,0.599,-,0.676
2021/01/01,04:00,0.571,-,0.628
2021/01/01,04:06,0.542,-,0.616
2021/01/01,04:12,0.514,-,0.572
2021/01/01,04:18,0.485,-,0.548
2021/01/01,04:24,0.456,-,0.54
2021/01/01,04:30,0.427,-,0.505
2021/01/01,04:36,0.398,-,0.491
2021/01/01,04:42,0.37,-,0.443
2021/01/01,04:48,0.342,-,0.414
2021/01/01,04:54,0.314,-,0.388
2021/01/01,05:00,0.287,-,0.342
2021/01/01,05:06,0.26,-,0.276
