Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
2021/01/01,00:00,0.294,-,0.256
2021/01/01,00:06,0.249,-,0.232
2021/01/01,00:12,0.205,-,0.179
2021/01/01,00:18,0.163,-,0.131
2021/01/01,00:24,0.122,-,0.09
2021/01/01,00:30,0.083,-,0.046
2021/01/01,00:36,0.045,-,0.022
2021/01/01,00:42,0.009,-,-0.011
2021/01/01,00:48,-0.024,-,-0.043
2021/01/01,00:54,-0.056,-,-0.056
2021/01/01,01:00,-0.086,-,-0.099
2021/01/01,01:06,-0.114,-,-0.136
2021/01/01,01:12,-0.14,-,-0.15
2021/01/01,01:18,-0.163,-,-0.163
2021/01/01,01:24,-0.185,-,-0.205
2021/01/01,01:30,-0.204,-,-0.214
2021/01/01,01:36,-0.221,-,-0.226
2021/01/01,01:42,-0.237,-,-0.246
2021/01/01,01:48,-0.25,-,-0.256
2021/01/01,01:54,-0.261,-,-0.279
2021/01/01,02:00,-0.27,-,-0.264
2021/01/01,02:06,-0.276,-,-0.285
2021/01/01,02:12,-0.281,-,-0.303
2021/01/01,02:18,-0.284,-,-0.312
2021/01/01,02:24,-0.285,-,-0.31
2021/01/01,02:30,-0.284,-,-0.328
2021/01/01,02:36,-0.281,-,-0.302
2021/01/01,02:42,-0.277,-,-0.329
2021/01/01,02:48,-0.271,-,-0.319
2021/01/01,02:54,-0.263,-,-0.32
2021/01/01,03:00,-0.253,-,-0.315
2021/01/01,03:06,-0.242,-,-0.291
2021/01/01,03:12,-0.229,-,-0.295
2021/01/01,03:18,-0.215,-,-0.266
2021/01/01,03:24,-0.199,-,-0.239
2021/01/01,03:30,-0.182,-,-0.246
2021/01/01,03:36,-0.163,-,-0.234
2021/01/01,03:42,-0.144,-,-0.204
2021/01/01,03:48,-0.122,-,-0.202
2021/01/01,03:54,-0.1,-,-0.175
2021/01/01,04:00,-0.077,-,-0.14
2021/01/01,04:06,-0.052,-,-0.119
2021/01/01,04:12,-0.026,-,-0.098
2021/01/01,04:18,0,-,-0.072
2021/01/01,04:24,0.028,-,-0.045
2021/01/01,04:30,0.056,-,-0.019
2021/01/01,04:36,0.086,-,0.035
2021/01/01,04:42,0.116,-,0.063
2021/01/01,04:48,0.147,-,0.098
2021/01/01,04:54,0.179,-,0.14
2021/01/01,05:00,0.211,-,0.144
2021/01/01,05:06,0.244,-,0.198
2021/01/01,05:12,0.277,-,0.227
2021/01/01,05:18,0.311,-,0.267
2021/01/01,05:24,0.345,-,0.304
2021/01/01,05:30,0.379,-,0.341
2021/01/01,05:36,0.414,-,0.369
2021/01/01,05:42,0.449,-,0.42
2021/01/01,05:48,0.484,-,0.451
2021/01/01,05:54,0.519,-,0.488
2021/01/01,06:00,0.554,-,0.511
2021/01/01,06:06,0.59,-,0.555
2021/01/01,06:12,0.625,-,0.595
2021/01/01,06:18,0.66,-,0.632
2021/01/01,06:24,0.695,-,0.674
2021/01/01,06:30,0.73,-,0.723
2021/01/01,06:36,0.764,-,0.734
2021/01/01,06:42,0.798,-,0.765
2021/01/01,06:48,0.832,-,0.805
2021/01/01,06:54,0.866,-,0.813
2021/01/01,07:00,0.899,-,0.862
2021/01/01,07:06,0.932,-,0.887
2021/01/01,07:12,0.964,-,0.923
2021/01/01,07:18,0.996,-,0.94
2021/01/01,07:24,1.027,-,0.981
2021/01/01,07:30,1.058,-,1.014
2021/01/01,07:36,1.088,-,1.039
2021/01/01,07:42,1.117,-,1.072
2021/01/01,07:48,1.145,-,1.094
2021/01/01,07:54,1.173,-,1.124
2021/01/01,08:00,1.199,-,1.158
2021/01/01,08:06,1.225,-,1.163
2021/01/01,08:12,1.25,-,1.207
2021/01/01,08:18,1.273,-,1.226
2021/01/01,08:24,1.296,-,1.249
2021/01/01,08:30,1.317,-,1.278
2021/01/01,08:36,1.337,-,1.286
2021/01/01,08:42,1.355,-,1.306
2021/01/01,08:48,1.373,-,1.314
2021/01/01,08:54,1.388,-,1.334
2021/01/01,09:00,1.403,-,1.338
2021/01/01,09:06,1.416,-,1.362
2021/01/01,09:12,1.427,-,1.373
2021/01/01,09:18,1.437,-,1.382
2021/01/01,09:24,1.445,-,1.4
2021/01/01,09:30,1.452,-,1.395
2021/01/01,09:36,1.457,-,1.39
2021/01/01,09:42,1.461,-,1.401
2021/01/01,09:48,1.463,-,1.404
2021/01/01,09:54,1.463,-,1.416
2021/01/01,10:00,1.462,-,1.407
2021/01/01,10:06,1.46,-,1.406
2021/01/01,10:12,1.456,-,1.399
2021/01/01,10:18,1.451,-,1.389
2021/01/01,10:24,1.444,-,1.389
2021/01/01,10:30,1.437,-,1.397
2021/01/01,10:36,1.428,-,1.394
2021/01/01,10:42,1.418,-,1.391
2021/01/01,10:48,1.406,-,1.371
2021/01/01,10:54,1.394,-,1.367
2021/01/01,11:00,1.381,-,1.366
2021/01/01,11:06,1.367,-,1.347
2021/01/01,11:12,1.352,-,1.326
2021/01/01,11:18,1.337,-,1.305
2021/01/01,11:24,1.321,-,1.307
2021/01/01,11:30,1.304,-,1.29
2021/01/01,11:36,1.287,-,1.299
2021/01/01,11:42,1.27,-,1.279
2021/01/01,11:48,1.253,-,1.25
2021/01/01,11:54,1.235,-,1.209
2021/01/01,12:00,1.217,-,1.191
2021/01/01,12:06,1.2,-,1.182
2021/01/01,12:12,1.182,-,1.178
2021/01/01,12:18,1.165,-,1.163
2021/01/01,12:24,1.148,-,1.126
2021/01/01,12:30,1.131,-,1.105
2021/01/01,12:36,1.115,-,1.101
2021/01/01,12:42,1.1,-,1.078
2021/01/01,12:48,1.085,-,1.072
2021/01/01,12:54,1.071,-,1.054
2021/01/01,13:00,1.058,-,1.038
2021/01/01,13:06,1.045,-,1.031
2021/01/01,13:12,1.034,-,1.012
2021/01/01,13:18,1.023,-,0.999
2021/01/01,13:24,1.014,-,0.975
2021/01/01,13:30,1.005,-,0.976
2021/01/01,13:36,0.998,-,0.973
2021/01/01,13:42,0.992,-,0.959
2021/01/01,13:48,0.987,-,0.959
2021/01/01,13:54,0.983,-,0.938
2021/01/01,14:00,0.98,-,0.922
2021/01/01,14:06,0.978,-,0.934
2021/01/01,14:12,0.978,-,0.932
2021/01/01,14:18,0.979,-,0.942
2021/01/01,14:24,0.981,-,0.942
2021/01/01,14:30,0.984,-,0.935
2021/01/01,14:36,0.989,-,0.935
2021/01/01,14:42,0.994,-,0.936
2021/01/01,14:48,1.001,-,0.936
2021/01/01,14:54,1.008,-,0.945
2021/01/01,15:00,1.017,-,0.955
2021/01/01,15:06,1.027,-,0.974
2021/01/01,15:12,1.038,-,0.984
2021/01/01,15:18,1.049,-,1.002
2021/01/01,15:24,1.062,-,1.013
2021/01/01,15:30,1.075,-,1.021
2021/01/01,15:36,1.09,-,1.036
2021/01/01,15:42,1.105,-,1.045
2021/01/01,15:48,1.121,-,1.054
2021/01/01,15:54,1.138,-,1.072
2021/01/01,16:00,1.155,-,1.102
2021/01/01,16:06,1.174,-,1.134
2021/01/01,16:12,1.192,-,1.163
2021/01/01,16:18,1.212,-,1.169
2021/01/01,16:24,1.232,-,1.191
2021/01/01,16:30,1.253,-,1.196
2021/01/01,16:36,1.274,-,1.223
2021/01/01,16:42,1.296,-,1.258
